time,open,high,low,close,tick_volume
2026-02-20 00:00:00,1.05,1.06,1.03,1.05,1639
2026-02-20 01:00:00,1.05,1.06,1.03,1.05,1956
2026-02-20 02:00:00,1.05,1.06,1.04,1.05,1688
2026-02-20 03:00:00,1.05,1.07,1.04,1.05,1225
2026-02-20 04:00:00,1.05,1.07,1.04,1.06,1113
2026-02-20 05:00:00,1.06,1.07,1.05,1.06,1087
2026-02-20 06:00:00,1.06,1.07,1.03,1.06,1350
2026-02-20 07:00:00,1.06,1.08,1.04,1.06,1237
2026-02-20 08:00:00,1.06,1.08,1.04,1.06,1708
2026-02-20 09:00:00,1.06,1.07,1.05,1.06,1577
2026-02-20 10:00:00,1.06,1.08,1.04,1.06,1691
2026-02-20 11:00:00,1.06,1.07,1.04,1.06,1761
2026-02-20 12:00:00,1.06,1.08,1.06,1.06,1381
2026-02-20 13:00:00,1.06,1.07,1.05,1.06,1329
2026-02-20 14:00:00,1.06,1.1,1.04,1.06,1582
2026-02-20 15:00:00,1.06,1.07,1.04,1.06,1120
2026-02-20 16:00:00,1.06,1.09,1.05,1.06,1478
2026-02-20 17:00:00,1.06,1.07,1.04,1.06,1092
2026-02-20 18:00:00,1.06,1.06,1.05,1.06,1662
2026-02-20 19:00:00,1.06,1.09,1.04,1.06,2021
2026-02-20 20:00:00,1.06,1.08,1.06,1.06,2073
2026-02-20 21:00:00,1.06,1.07,1.02,1.06,1470
2026-02-20 22:00:00,1.06,1.07,1.05,1.06,1918
2026-02-20 23:00:00,1.06,1.06,1.05,1.06,1796
2026-02-21 00:00:00,1.06,1.06,1.02,1.06,1361
2026-02-21 01:00:00,1.06,1.06,1.03,1.05,1590
2026-02-21 02:00:00,1.05,1.07,1.04,1.05,1374
2026-02-21 03:00:00,1.05,1.07,1.03,1.05,2117
2026-02-21 04:00:00,1.05,1.09,1.02,1.05,1207
2026-02-21 05:00:00,1.05,1.09,1.04,1.06,1436
2026-02-21 06:00:00,1.06,1.06,1.04,1.06,1435
2026-02-21 07:00:00,1.06,1.06,1.04,1.06,1906
2026-02-21 08:00:00,1.06,1.06,1.06,1.06,1413
2026-02-21 09:00:00,1.06,1.07,1.04,1.06,1221
2026-02-21 10:00:00,1.06,1.06,1.01,1.06,1668
2026-02-21 11:00:00,1.06,1.08,1.05,1.06,1211
2026-02-21 12:00:00,1.06,1.07,1.05,1.06,1255
2026-02-21 13:00:00,1.06,1.09,1.04,1.06,1484
2026-02-21 14:00:00,1.06,1.09,1.05,1.06,1963
2026-02-21 15:00:00,1.06,1.08,1.05,1.06,1810
2026-02-21 16:00:00,1.06,1.06,1.05,1.06,2028
2026-02-21 17:00:00,1.06,1.06,1.03,1.06,2149
2026-02-21 18:00:00,1.06,1.07,1.04,1.06,2013
2026-02-21 19:00:00,1.06,1.06,1.04,1.05,2055
2026-02-21 20:00:00,1.05,1.06,1.04,1.05,2059
2026-02-21 21:00:00,1.05,1.07,1.05,1.06,1628
2026-02-21 22:00:00,1.06,1.06,1.05,1.06,1310
2026-02-21 23:00:00,1.06,1.06,1.05,1.06,1441
2026-02-22 00:00:00,1.06,1.09,1.05,1.06,2148
2026-02-22 01:00:00,1.06,1.07,1.04,1.06,1275
2026-02-22 02:00:00,1.06,1.06,1.06,1.06,1988
2026-02-22 03:00:00,1.06,1.09,1.06,1.06,1382
2026-02-22 04:00:00,1.06,1.07,1.06,1.06,1262
2026-02-22 05:00:00,1.06,1.07,1.03,1.06,1943
2026-02-22 06:00:00,1.06,1.07,1.06,1.06,1517
2026-02-22 07:00:00,1.06,1.09,1.05,1.06,1522
2026-02-22 08:00:00,1.06,1.08,1.05,1.06,1810
2026-02-22 09:00:00,1.06,1.09,1.05,1.06,1632
2026-02-22 10:00:00,1.06,1.07,1.06,1.06,1618
2026-02-22 11:00:00,1.06,1.07,1.06,1.06,1937
2026-02-22 12:00:00,1.06,1.07,1.03,1.06,1633
2026-02-22 13:00:00,1.06,1.08,1.04,1.06,1929
2026-02-22 14:00:00,1.06,1.07,1.03,1.06,1634
2026-02-22 15:00:00,1.06,1.08,1.04,1.06,1950
2026-02-22 16:00:00,1.06,1.07,1.03,1.06,1372
2026-02-22 17:00:00,1.06,1.1,1.05,1.06,2137
2026-02-22 18:00:00,1.06,1.07,1.04,1.06,2195
2026-02-22 19:00:00,1.06,1.1,1.06,1.06,1941
2026-02-22 20:00:00,1.06,1.06,1.05,1.06,1603
2026-02-22 21:00:00,1.06,1.09,1.04,1.06,1817
2026-02-22 22:00:00,1.06,1.08,1.05,1.06,1449
2026-02-22 23:00:00,1.06,1.07,1.06,1.06,1482
2026-02-23 00:00:00,1.06,1.06,1.04,1.06,1412
2026-02-23 01:00:00,1.06,1.09,1.05,1.06,2029
2026-02-23 02:00:00,1.06,1.08,1.04,1.06,2308
2026-02-23 03:00:00,1.06,1.07,1.05,1.06,1768
2026-02-23 04:00:00,1.06,1.07,1.06,1.06,1784
2026-02-23 05:00:00,1.06,1.07,1.04,1.07,1976
2026-02-23 06:00:00,1.07,1.09,1.06,1.07,2278
2026-02-23 07:00:00,1.07,1.09,1.06,1.06,1603
2026-02-23 08:00:00,1.06,1.1,1.04,1.07,2317
