time,open,high,low,close,tick_volume
2026-02-20 00:00:00,125.0,125.63,124.41,124.96,1282
2026-02-20 01:00:00,124.96,126.85,123.65,124.85,1861
2026-02-20 02:00:00,124.85,126.96,123.35,124.97,1762
2026-02-20 03:00:00,124.97,125.35,123.89,125.04,1019
2026-02-20 04:00:00,125.04,126.37,124.32,125.18,1718
2026-02-20 05:00:00,125.18,125.73,123.76,125.44,1178
2026-02-20 06:00:00,125.44,125.81,125.38,125.43,1563
2026-02-20 07:00:00,125.43,125.49,124.55,125.25,1246
2026-02-20 08:00:00,125.25,125.79,124.79,125.3,1729
2026-02-20 09:00:00,125.3,128.05,125.2,125.63,1872
2026-02-20 10:00:00,125.63,127.75,123.48,125.72,1574
2026-02-20 11:00:00,125.72,127.64,125.25,125.71,1159
2026-02-20 12:00:00,125.71,127.12,124.98,125.75,2040
2026-02-20 13:00:00,125.75,126.64,122.82,125.65,1766
2026-02-20 14:00:00,125.65,126.44,124.04,125.5,1976
2026-02-20 15:00:00,125.5,125.62,124.76,125.46,1321
2026-02-20 16:00:00,125.46,126.86,122.52,125.36,1670
2026-02-20 17:00:00,125.36,126.06,124.57,125.34,1406
2026-02-20 18:00:00,125.34,126.54,123.57,125.22,1719
2026-02-20 19:00:00,125.22,125.72,121.53,125.44,1792
2026-02-20 20:00:00,125.44,125.98,124.83,125.57,1871
2026-02-20 21:00:00,125.57,127.19,125.02,125.69,1997
2026-02-20 22:00:00,125.69,127.02,125.43,125.87,2088
2026-02-20 23:00:00,125.87,127.87,125.67,125.81,2108
2026-02-21 00:00:00,125.81,126.82,125.19,125.79,2050
2026-02-21 01:00:00,125.79,126.22,124.82,125.9,1449
2026-02-21 02:00:00,125.9,126.46,125.4,126.12,1147
2026-02-21 03:00:00,126.12,127.65,124.64,126.03,1396
2026-02-21 04:00:00,126.03,126.55,125.94,126.26,1395
2026-02-21 05:00:00,126.26,128.48,126.22,126.49,2090
2026-02-21 06:00:00,126.49,126.55,124.86,126.39,1625
2026-02-21 07:00:00,126.39,128.67,123.97,126.22,1980
2026-02-21 08:00:00,126.22,126.91,125.65,126.17,2109
2026-02-21 09:00:00,126.17,128.19,124.8,126.32,2137
2026-02-21 10:00:00,126.32,127.4,122.69,126.13,2080
2026-02-21 11:00:00,126.13,127.4,124.83,126.21,1846
2026-02-21 12:00:00,126.21,128.43,123.82,126.39,1285
2026-02-21 13:00:00,126.39,127.57,125.65,126.19,2158
2026-02-21 14:00:00,126.19,127.83,125.0,126.43,2070
2026-02-21 15:00:00,126.43,129.9,126.2,126.29,1393
2026-02-21 16:00:00,126.29,127.53,124.98,126.35,1452
2026-02-21 17:00:00,126.35,127.29,124.94,126.32,2138
2026-02-21 18:00:00,126.32,128.39,125.53,126.31,2141
2026-02-21 19:00:00,126.31,127.34,125.51,126.57,2163
2026-02-21 20:00:00,126.57,128.53,126.12,126.61,1443
2026-02-21 21:00:00,126.61,127.93,126.39,126.92,1239
2026-02-21 22:00:00,126.92,128.97,124.34,126.81,1333
2026-02-21 23:00:00,126.81,127.44,125.34,127.02,1529
2026-02-22 00:00:00,127.02,130.09,126.85,127.2,1779
2026-02-22 01:00:00,127.2,130.81,126.38,127.27,1757
2026-02-22 02:00:00,127.27,127.87,126.11,127.22,1579
2026-02-22 03:00:00,127.22,129.55,125.12,127.48,1787
2026-02-22 04:00:00,127.48,128.89,126.05,127.38,1353
2026-02-22 05:00:00,127.38,129.28,125.98,127.35,1649
2026-02-22 06:00:00,127.35,129.37,125.3,127.19,1423
2026-02-22 07:00:00,127.19,127.58,127.12,127.31,1554
2026-02-22 08:00:00,127.31,130.63,125.56,127.51,1829
2026-02-22 09:00:00,127.51,127.89,127.35,127.62,1854
2026-02-22 10:00:00,127.62,127.88,127.0,127.8,1298
2026-02-22 11:00:00,127.8,130.08,126.64,127.73,1658
2026-02-22 12:00:00,127.73,128.33,125.12,127.68,1651
2026-02-22 13:00:00,127.68,128.9,127.45,127.52,1479
2026-02-22 14:00:00,127.52,130.18,127.1,127.66,2163
2026-02-22 15:00:00,127.66,129.81,126.91,127.58,1926
2026-02-22 16:00:00,127.58,128.53,126.65,127.62,2221
2026-02-22 17:00:00,127.62,129.73,123.31,127.67,1708
