time,open,high,low,close,tick_volume
2026-02-20 00:00:00,2.5,2.51,2.5,2.5,1592
2026-02-20 01:00:00,2.5,2.52,2.45,2.5,1505
2026-02-20 02:00:00,2.5,2.54,2.49,2.5,1054
2026-02-20 03:00:00,2.5,2.53,2.47,2.5,1424
2026-02-20 04:00:00,2.5,2.52,2.5,2.51,1646
2026-02-20 05:00:00,2.51,2.52,2.49,2.51,1807
2026-02-20 06:00:00,2.51,2.52,2.49,2.51,1033
2026-02-20 07:00:00,2.51,2.56,2.47,2.5,1296
2026-02-20 08:00:00,2.5,2.51,2.49,2.5,1832
2026-02-20 09:00:00,2.5,2.53,2.5,2.5,1619
2026-02-20 10:00:00,2.5,2.56,2.44,2.51,1448
2026-02-20 11:00:00,2.51,2.53,2.48,2.51,1473
2026-02-20 12:00:00,2.51,2.51,2.49,2.51,1877
2026-02-20 13:00:00,2.51,2.55,2.48,2.5,1761
2026-02-20 14:00:00,2.5,2.53,2.49,2.5,1394
2026-02-20 15:00:00,2.5,2.51,2.45,2.51,1718
2026-02-20 16:00:00,2.51,2.54,2.49,2.51,2027
2026-02-20 17:00:00,2.51,2.51,2.48,2.51,1494
2026-02-20 18:00:00,2.51,2.51,2.5,2.51,1441
2026-02-20 19:00:00,2.51,2.51,2.48,2.51,1172
2026-02-20 20:00:00,2.51,2.52,2.51,2.51,1623
2026-02-20 21:00:00,2.51,2.52,2.5,2.51,1970
2026-02-20 22:00:00,2.51,2.53,2.5,2.51,2027
2026-02-20 23:00:00,2.51,2.51,2.46,2.51,1136
2026-02-21 00:00:00,2.51,2.53,2.48,2.51,1305
2026-02-21 01:00:00,2.51,2.52,2.47,2.51,1342
2026-02-21 02:00:00,2.51,2.55,2.47,2.51,1792
2026-02-21 03:00:00,2.51,2.52,2.49,2.51,1250
2026-02-21 04:00:00,2.51,2.54,2.48,2.51,1252
2026-02-21 05:00:00,2.51,2.53,2.49,2.51,1278
2026-02-21 06:00:00,2.51,2.51,2.5,2.51,1285
2026-02-21 07:00:00,2.51,2.52,2.45,2.51,1406
2026-02-21 08:00:00,2.51,2.53,2.5,2.51,1893
2026-02-21 09:00:00,2.51,2.52,2.49,2.51,2060
2026-02-21 10:00:00,2.51,2.53,2.5,2.51,2094
2026-02-21 11:00:00,2.51,2.54,2.49,2.51,1487
2026-02-21 12:00:00,2.51,2.51,2.49,2.51,1623
2026-02-21 13:00:00,2.51,2.52,2.47,2.51,1459
2026-02-21 14:00:00,2.51,2.52,2.49,2.51,1758
2026-02-21 15:00:00,2.51,2.54,2.47,2.51,1920
2026-02-21 16:00:00,2.51,2.53,2.51,2.52,1773
2026-02-21 17:00:00,2.52,2.54,2.5,2.52,1957
2026-02-21 18:00:00,2.52,2.54,2.5,2.52,1592
2026-02-21 19:00:00,2.52,2.53,2.51,2.52,2136
2026-02-21 20:00:00,2.52,2.56,2.52,2.52,1487
2026-02-21 21:00:00,2.52,2.52,2.48,2.52,1388
2026-02-21 22:00:00,2.52,2.53,2.51,2.52,1961
2026-02-21 23:00:00,2.52,2.56,2.5,2.52,1688
2026-02-22 00:00:00,2.52,2.53,2.49,2.52,1331
2026-02-22 01:00:00,2.52,2.57,2.5,2.52,1913
2026-02-22 02:00:00,2.52,2.55,2.48,2.52,1589
2026-02-22 03:00:00,2.52,2.53,2.5,2.52,2132
2026-02-22 04:00:00,2.52,2.54,2.49,2.53,1388
2026-02-22 05:00:00,2.53,2.54,2.52,2.53,1852
2026-02-22 06:00:00,2.53,2.62,2.52,2.53,2035
2026-02-22 07:00:00,2.53,2.54,2.51,2.53,2250
2026-02-22 08:00:00,2.53,2.56,2.52,2.53,1479
2026-02-22 09:00:00,2.53,2.57,2.51,2.53,1782
2026-02-22 10:00:00,2.53,2.54,2.51,2.53,1780
2026-02-22 11:00:00,2.53,2.55,2.48,2.53,2037
2026-02-22 12:00:00,2.53,2.56,2.49,2.53,2011
2026-02-22 13:00:00,2.53,2.53,2.51,2.53,1389
2026-02-22 14:00:00,2.53,2.54,2.51,2.53,1892
2026-02-22 15:00:00,2.53,2.56,2.52,2.53,1864
2026-02-22 16:00:00,2.53,2.54,2.49,2.53,1492
2026-02-22 17:00:00,2.53,2.55,2.5,2.53,1592
2026-02-22 18:00:00,2.53,2.56,2.51,2.53,2264
2026-02-22 19:00:00,2.53,2.53,2.52,2.53,1764
2026-02-22 20:00:00,2.53,2.53,2.51,2.53,1626
2026-02-22 21:00:00,2.53,2.57,2.52,2.53,2146
2026-02-22 22:00:00,2.53,2.57,2.51,2.53,1938
2026-02-22 23:00:00,2.53,2.54,2.53,2.53,1505
2026-02-23 00:00:00,2.53,2.54,2.52,2.53,1800
2026-02-23 01:00:00,2.53,2.58,2.52,2.53,2360
2026-02-23 02:00:00,2.53,2.54,2.47,2.53,1421
2026-02-23 03:00:00,2.53,2.54,2.52,2.53,1839
2026-02-23 04:00:00,2.53,2.55,2.47,2.53,1830
2026-02-23 05:00:00,2.53,2.55,2.5,2.53,1990
2026-02-23 06:00:00,2.53,2.55,2.53,2.53,2121
2026-02-23 07:00:00,2.53,2.55,2.5,2.53,2059
2026-02-23 08:00:00,2.53,2.53,2.47,2.53,2095
2026-02-23 09:00:00,2.53,2.54,2.48,2.53,2315
2026-02-23 10:00:00,2.53,2.6,2.48,2.53,2020
2026-02-23 11:00:00,2.53,2.54,2.53,2.54,2120
2026-02-23 12:00:00,2.54,2.59,2.51,2.54,2081
2026-02-23 13:00:00,2.54,2.56,2.53,2.54,2228
2026-02-23 14:00:00,2.54,2.57,2.5,2.54,1519
2026-02-23 15:00:00,2.54,2.57,2.54,2.54,2261
2026-02-23 16:00:00,2.54,2.55,2.53,2.54,1504
2026-02-23 17:00:00,2.54,2.59,2.54,2.55,2135
2026-02-23 18:00:00,2.55,2.55,2.54,2.55,1979
2026-02-23 19:00:00,2.55,2.56,2.51,2.55,1588
2026-02-23 20:00:00,2.55,2.56,2.53,2.55,2205
2026-02-23 21:00:00,2.55,2.55,2.54,2.55,2066
2026-02-23 22:00:00,2.55,2.58,2.54,2.55,2261
2026-02-23 23:00:00,2.55,2.56,2.53,2.56,2061
2026-02-24 00:00:00,2.56,2.58,2.53,2.55,1934
2026-02-24 01:00:00,2.55,2.57,2.54,2.55,1900
2026-02-24 02:00:00,2.55,2.56,2.55,2.55,2263
2026-02-24 03:00:00,2.55,2.59,2.55,2.55,1774
2026-02-24 04:00:00,2.55,2.56,2.54,2.55,1731
2026-02-24 05:00:00,2.55,2.59,2.5,2.55,1855
2026-02-24 06:00:00,2.55,2.56,2.53,2.55,2344
2026-02-24 07:00:00,2.55,2.58,2.52,2.55,1960
2026-02-24 08:00:00,2.55,2.59,2.55,2.55,1537
2026-02-24 09:00:00,2.55,2.55,2.5,2.55,2058
2026-02-24 10:00:00,2.55,2.57,2.53,2.55,1737
2026-02-24 11:00:00,2.55,2.55,2.53,2.55,1542
2026-02-24 12:00:00,2.55,2.59,2.51,2.54,2511
2026-02-24 13:00:00,2.54,2.58,2.51,2.54,1641
2026-02-24 14:00:00,2.54,2.55,2.53,2.54,2534
2026-02-24 15:00:00,2.54,2.56,2.51,2.54,2076
2026-02-24 16:00:00,2.54,2.56,2.54,2.54,1618
2026-02-24 17:00:00,2.54,2.55,2.54,2.55,2148
2026-02-24 18:00:00,2.55,2.58,2.53,2.55,1587
2026-02-24 19:00:00,2.55,2.55,2.53,2.55,2401
2026-02-24 20:00:00,2.55,2.58,2.51,2.55,1827
2026-02-24 21:00:00,2.55,2.57,2.54,2.54,2251
2026-02-24 22:00:00,2.54,2.56,2.54,2.55,1804
2026-02-24 23:00:00,2.55,2.56,2.51,2.54,2455
2026-02-25 00:00:00,2.54,2.59,2.54,2.55,1889
2026-02-25 01:00:00,2.55,2.58,2.49,2.54,2487
2026-02-25 02:00:00,2.54,2.57,2.53,2.54,2030
2026-02-25 03:00:00,2.54,2.58,2.51,2.55,2330
2026-02-25 04:00:00,2.55,2.55,2.54,2.54,2099
2026-02-25 05:00:00,2.54,2.55,2.54,2.54,1712
2026-02-25 06:00:00,2.54,2.54,2.54,2.54,1954
2026-02-25 07:00:00,2.54,2.56,2.51,2.54,1910
2026-02-25 08:00:00,2.54,2.56,2.51,2.54,2486
2026-02-25 09:00:00,2.54,2.57,2.52,2.54,1952
2026-02-25 10:00:00,2.54,2.55,2.52,2.54,2036
2026-02-25 11:00:00,2.54,2.57,2.53,2.54,2199
2026-02-25 12:00:00,2.54,2.57,2.53,2.54,2331
2026-02-25 13:00:00,2.54,2.55,2.54,2.55,2629
2026-02-25 14:00:00,2.55,2.6,2.53,2.55,1879
2026-02-25 15:00:00,2.55,2.57,2.54,2.55,2531
2026-02-25 16:00:00,2.55,2.59,2.53,2.54,2048
2026-02-25 17:00:00,2.54,2.56,2.54,2.54,2292
2026-02-25 18:00:00,2.54,2.59,2.51,2.55,2648
2026-02-25 19:00:00,2.55,2.55,2.51,2.55,2445
2026-02-25 20:00:00,2.55,2.56,2.53,2.55,2200
2026-02-25 21:00:00,2.55,2.56,2.54,2.55,1822
2026-02-25 22:00:00,2.55,2.58,2.55,2.55,2668
2026-02-25 23:00:00,2.55,2.58,2.53,2.55,1791
2026-02-26 00:00:00,2.55,2.57,2.54,2.55,1966
2026-02-26 01:00:00,2.55,2.56,2.52,2.55,2156
2026-02-26 02:00:00,2.55,2.55,2.52,2.55,2522
2026-02-26 03:00:00,2.55,2.57,2.52,2.55,2659
2026-02-26 04:00:00,2.55,2.55,2.52,2.55,2324
2026-02-26 05:00:00,2.55,2.57,2.5,2.54,1874
2026-02-26 06:00:00,2.54,2.56,2.53,2.55,2509
2026-02-26 07:00:00,2.55,2.56,2.52,2.55,2495
2026-02-26 08:00:00,2.55,2.56,2.54,2.54,2140
2026-02-26 09:00:00,2.54,2.56,2.51,2.54,2624
2026-02-26 10:00:00,2.54,2.55,2.52,2.55,1957
2026-02-26 11:00:00,2.55,2.57,2.54,2.54,2021
2026-02-26 12:00:00,2.54,2.55,2.54,2.55,2429
2026-02-26 13:00:00,2.55,2.56,2.53,2.55,2234
2026-02-26 14:00:00,2.55,2.58,2.53,2.55,2542
2026-02-26 15:00:00,2.55,2.59,2.5,2.55,1879
2026-02-26 16:00:00,2.55,2.56,2.53,2.55,2239
2026-02-26 17:00:00,2.55,2.58,2.52,2.55,2756
2026-02-26 18:00:00,2.55,2.55,2.52,2.55,2171
2026-02-26 19:00:00,2.55,2.57,2.54,2.55,2732
2026-02-26 20:00:00,2.55,2.55,2.51,2.54,2113
2026-02-26 21:00:00,2.54,2.54,2.54,2.54,2659
2026-02-26 22:00:00,2.54,2.55,2.52,2.54,2771
2026-02-26 23:00:00,2.54,2.56,2.51,2.54,1891
2026-02-27 00:00:00,2.54,2.56,2.52,2.54,1858
2026-02-27 01:00:00,2.54,2.58,2.53,2.54,2143
2026-02-27 02:00:00,2.54,2.57,2.53,2.54,2148
2026-02-27 03:00:00,2.54,2.56,2.5,2.54,2600
2026-02-27 04:00:00,2.54,2.59,2.47,2.54,2039
2026-02-27 05:00:00,2.54,2.57,2.53,2.55,2811
2026-02-27 06:00:00,2.55,2.59,2.52,2.54,2108
2026-02-27 07:00:00,2.54,2.57,2.5,2.54,1988
2026-02-27 08:00:00,2.54,2.56,2.52,2.55,1969
2026-02-27 09:00:00,2.55,2.56,2.53,2.55,2766
2026-02-27 10:00:00,2.55,2.56,2.54,2.54,1965
2026-02-27 11:00:00,2.54,2.59,2.54,2.54,2383
2026-02-27 12:00:00,2.54,2.54,2.49,2.54,2452
2026-02-27 13:00:00,2.54,2.57,2.54,2.54,2555
2026-02-27 14:00:00,2.54,2.56,2.51,2.55,2021
2026-02-27 15:00:00,2.55,2.56,2.53,2.55,2902
2026-02-27 16:00:00,2.55,2.56,2.54,2.55,2282
2026-02-27 17:00:00,2.55,2.56,2.54,2.55,2480
