iter	Logloss
0	0.6925240702
1	0.6918617136
2	0.6913294348
3	0.6907434764
4	0.6902287174
5	0.6897619235
6	0.6893498487
7	0.6889072917
8	0.6885907788
9	0.6882098268
10	0.6878967209
11	0.6876129355
12	0.6873673873
13	0.6870797545
14	0.6868655676
15	0.6866636374
16	0.6864928964
17	0.6863166659
18	0.6860572313
19	0.6858619516
20	0.6856775678
21	0.6854494477
22	0.6852532234
23	0.6850705814
24	0.6848253839
25	0.6845804523
26	0.6844070178
27	0.6842623717
28	0.6840714416
29	0.683884641
30	0.6837391201
31	0.6835697376
32	0.6833713462
33	0.6831580793
34	0.6829832925
35	0.6827964982
36	0.682620908
37	0.6825629215
38	0.682414626
39	0.6822498822
40	0.6820824803
41	0.6818945622
42	0.6817209053
43	0.6815914672
44	0.681459296
45	0.681320332
46	0.6812105426
47	0.6809808697
48	0.6808638927
49	0.6806593398
50	0.6805078232
51	0.6803884695
52	0.680278706
53	0.6802223109
54	0.6800343379
55	0.679903026
56	0.6798309892
57	0.6796951227
58	0.6795872496
59	0.6794253622
60	0.6792213352
61	0.6789812519
62	0.6787561913
63	0.6786119816
64	0.6783841809
65	0.6782404667
66	0.6781564836
67	0.6780090288
68	0.6778815134
69	0.6777636401
70	0.6775874781
71	0.6774450775
72	0.6773209708
73	0.6772490645
74	0.6771449121
75	0.6769493967
76	0.6767995198
77	0.6766100147
78	0.6764765081
79	0.6763749969
80	0.6761843799
81	0.6760585064
82	0.6759446633
83	0.6758109027
84	0.6755615209
85	0.6754131265
86	0.675276862
87	0.6751183929
88	0.6750362288
89	0.6748734457
90	0.674775657
91	0.6746840374
92	0.6745512259
93	0.674355935
94	0.6741809858
95	0.6740813683
96	0.6739999955
97	0.6738865767
98	0.6738165821
99	0.6737140532
100	0.6734975343
101	0.6733934273
102	0.6732775728
103	0.6730800548
104	0.6729319499
105	0.6728030111
106	0.6726593627
107	0.672503429
108	0.6724087668
109	0.6722932747
110	0.6722296146
111	0.6720249263
112	0.671886091
113	0.6718107872
114	0.6716894673
115	0.6715543159
116	0.671463775
117	0.6713371399
118	0.6712582588
119	0.6710725423
120	0.6710239086
121	0.6709093286
122	0.6707874579
123	0.6707056515
124	0.6705696346
125	0.6704407251
126	0.6702597429
127	0.6701908927
128	0.6700492531
129	0.6699921055
130	0.6698833529
131	0.6697971956
132	0.6696615918
133	0.6695804302
134	0.6694976682
135	0.6694267508
136	0.6692717923
137	0.6691875774
138	0.6690913505
139	0.6690196037
140	0.6688025551
141	0.668704744
142	0.6685621945
143	0.6684513074
144	0.6683311528
145	0.6682208631
146	0.6680432866
147	0.6678802791
148	0.6676866356
149	0.6675171522
150	0.6673729183
151	0.6672159993
152	0.6671208177
153	0.6669776085
154	0.6668219987
155	0.6666580484
156	0.6665123025
157	0.6664041801
158	0.6662402596
159	0.6661188451
160	0.6659456709
161	0.6658043917
162	0.6656856651
163	0.6654781836
164	0.6653098924
165	0.6651253174
166	0.6650300146
167	0.664887025
168	0.6647500348
169	0.6646198849
170	0.6644751539
171	0.6642696862
172	0.6640841701
173	0.6640118129
174	0.6638846311
175	0.6637958467
